a1,gamma_1,gamma_2,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0.185,0.039810717055349734,0.06309573444801933,0.002,0.0003237202763557434,8.348311251542731e-05,0.0008348311251542731,0.003945438523636099,0.02115940015673838,4.231880031347676e-05,19.727192618180492,1.9727192618180494
0.185,0.06309573444801933,0.1,0.002,0.0005107671022415161,0.00013161703716028228,0.0013161703716028227,0.006251886346228364,0.021052372015637196,4.210474403127439e-05,31.259431731141817,3.125943173114182
0.185,0.1,0.15848931924611143,0.002,0.0007993802428245544,0.00020576236792258675,0.0020576236792258676,0.009852385870971904,0.020884521842452868,4.1769043684905736e-05,49.26192935485952,4.926192935485952
0.185,0.15848931924611143,0.25118864315095807,0.002,0.0012261569499969482,0.0003151561603919758,0.0031515616039197586,0.015279996643135438,0.020625407698211785,4.125081539642357e-05,76.39998321567718,7.639998321567717
0.185,0.25118864315095807,0.3981071705534973,0.002,0.0017963871359825134,0.00046091347930282,0.0046091347930282,0.02277298566889905,0.020239484009876105,4.0478968019752214e-05,113.86492834449524,11.386492834449523
0.185,0.3981071705534973,0.6309573444801934,0.002,0.0024047493934631348,0.0006159638860483196,0.006159638860483196,0.031260570414171004,0.01970417935077383,3.940835870154766e-05,156.30285207085504,15.630285207085503
0.185,0.6309573444801934,1.0,0.002,0.0028079375624656677,0.0007189302761599506,0.007189302761599506,0.03775713056002979,0.01904091400740659,3.808182801481318e-05,188.78565280014897,18.878565280014893
0.2,0.01,0.015848931924611134,0.002,8.805841207504272e-05,2.2734265528868088e-05,0.00022734265528868088,0.0010389591861831714,0.02188176959326675,4.37635391865335e-05,5.1947959309158565,0.5194795930915856
0.2,0.015848931924611134,0.025118864315095794,0.002,0.00013956427574157715,3.602378119935885e-05,0.0003602378119935885,0.001648495265924426,0.02185252329442257,4.3705046588845136e-05,8.24247632962213,0.824247632962213
0.2,0.025118864315095794,0.039810717055349734,0.002,0.00022113323211669922,5.705602872696158e-05,0.0005705602872696159,0.002616505460239965,0.02180619516908207,4.3612390338164144e-05,13.082527301199825,1.3082527301199824
0.2,0.039810717055349734,0.06309573444801933,0.002,0.00034996867179870605,9.025292197115249e-05,0.0009025292197115249,0.004152828497516482,0.021732879656630774,4.346575931326155e-05,20.764142487582408,2.076414248758241
0.2,0.06309573444801933,0.1,0.002,0.0005521774291992188,0.0001422882562611082,0.001422882562611082,0.006582192086659096,0.021617153432744778,4.3234306865489555e-05,32.91096043329548,3.291096043329548
0.2,0.1,0.15848931924611143,0.002,0.0008641928434371948,0.000222445380606516,0.00222445380606516,0.010377350133765612,0.02143566302949803,4.2871326058996063e-05,51.886750668828064,5.188675066882806
0.2,0.15848931924611143,0.25118864315095807,0.002,0.0013255774974822998,0.00034070998312270837,0.003407099831227084,0.016105037366832442,0.021155491624278024,4.231098324855605e-05,80.52518683416223,8.052518683416222
0.2,0.25118864315095807,0.3981071705534973,0.002,0.0019420385360717773,0.0004982843990485523,0.004982843990485523,0.02402736256679499,0.02073820618735594,4.147641237471188e-05,120.13681283397494,12.013681283397494
0.2,0.3981071705534973,0.6309573444801934,0.002,0.0025997310876846313,0.0006659071545412317,0.006659071545412317,0.033032086373644604,0.020159403405790942,4.031880681158188e-05,165.16043186822304,16.516043186822305
0.2,0.6309573444801934,1.0,0.002,0.003035604953765869,0.0007772218048204324,0.007772218048204325,0.03997592108286724,0.019442248827970892,3.888449765594179e-05,199.8796054143362,19.98796054143362
