state_id,a1,a2,a3,m,gamma,recovery_alias_margin_grid_verified,recovery_alias_trigger_grid,recovery_alias_a1_grid,recovery_alias_m_grid,recovery_alias_gamma_grid
36443,0.07489346549846232,0.025,0.0,0.6674107074737549,0.3462492987321978,0.0070755137063033095,m_low,0.0790402696501397,0.616,0.4570881896148752
36444,0.06646226290613413,0.025,0.0,0.8201425537467002,0.26779564775175446,0.005603605680713733,gamma_low,0.06460847191225252,0.8480000000000001,0.20892961308540398
36445,0.19354471331462264,0.025,0.0,0.762189657986164,0.09469993596557703,0.005656002111644559,gamma_high,0.19596117092818158,0.752,0.12022644346174131
36446,0.13289076876826586,0.025,0.0,1.0418159648776055,0.9734917247749754,0.005467724087677831,m_high,0.12853922592225245,1.096,0.8709635899560806
36447,0.10951924691908063,0.025,0.0,0.5779914870858193,0.025819910504827515,0.0007692071747765929,gamma_high,0.1098416646938868,0.5760000000000001,0.03162277660168379
36448,0.10812023240141572,0.025,0.0,0.8382144831120968,0.05891652072034426,0.0030573943058099934,gamma_high,0.10899422486593417,0.8320000000000001,0.07585775750291836
36449,0.13192769368179144,0.025,0.0,0.7802493862807751,0.20785523752367194,0.007513444512285675,gamma_high,0.13474218622035836,0.76,0.25118864315095807
36450,0.19201404927298427,0.025,0.0,1.022375699132681,0.021608204904579428,0.0016912458969643447,gamma_low,0.19156911657336642,1.024,0.016595869074375606
36451,0.06566751655191183,0.025,0.0,0.5585634343326091,0.5718872481475218,0.0037677222602680734,m_high,0.06286355359699018,0.6000000000000001,0.47863009232263826
36452,0.07627871134318412,0.025,0.0,1.104270876199007,0.14113758733618886,0.006332939551690064,gamma_low,0.07479861590823789,1.12,0.1
36453,0.16497768624685705,0.025,0.0,0.46495812311768536,0.049679106462773306,0.0029285983146419385,gamma_low,0.1630674458336045,0.47200000000000003,0.028840315031266057
36454,0.16116024889051916,0.025,0.0,0.9322066016495227,0.5176153141272652,0.00904731397871012,a1_high,0.16699818821773213,0.888,0.6025595860743578
36455,0.10000034542754294,0.025,0.0,0.699546680599451,0.01366899459009909,0.0015566026022136882,gamma_high,0.10049589348268835,0.696,0.023988329190194897
36456,0.09050430404022336,0.025,0.0,1.0566598646342755,0.3866540162872535,0.008555854031727355,m_low,0.09431643824415167,1.008,0.47863009232263826
36457,0.15181412510573866,0.025,0.0,0.5240853868424893,0.010197379159084505,0.002013564397691159,gamma_high,0.152739690841029,0.52,0.02187761623949553
36458,0.17440048544667663,0.025,0.0,0.8787361554801464,0.10636798745653109,0.005562389882381253,gamma_low,0.17249145416869618,0.888,0.08317637711026708
36459,0.08555159294046463,0.025,0.0,0.7395332597196103,0.0374051330607023,0.0016245838879825137,gamma_low,0.08505343071266745,0.744,0.025118864315095794
36460,0.056319108419120315,0.025,0.0,0.9977391459047794,0.02870276445973994,0.0008659520091328421,gamma_low,0.05614108549771692,1.0,0.02187761623949553
36461,0.18252030117437246,0.025,0.0,0.6338170118629932,0.7587184547096791,0.00626574627120691,m_high,0.17788028774032316,0.664,0.6918309709189366
36462,0.14120285962708296,0.025,0.0,1.1635411180555821,0.07896333663218326,0.007608845023555553,gamma_low,0.14013553731674222,1.1680000000000001,0.06309573444801933
36463,0.11754073831252755,0.025,0.0,0.40549056604504585,0.27829546020038004,0.004726114704146162,gamma_low,0.11381770365428098,0.42400000000000004,0.22908676527677735
36464,0.12463749554008247,0.025,0.0,1.1756114475429058,0.011708748872053816,0.006227059960543535,gamma_high,0.12480928483811149,1.1760000000000002,0.014454397707459272
36465,0.13877469925209882,0.025,0.0,0.4426585517823696,0.33375574586586904,0.007080713604037722,a1_high,0.14439160053122505,0.41600000000000004,0.3981071705534973
